Etiqueta;Servicio;Respuesta
Retiro cesantias;Cesantías;Para_realizar_el_retiro_de_tus_cesantías_debes_seguir_los_pasos_que_encontrarás_en_el_siguiente_link:_-----_.1
Retiro parcial cesantias;Cesantías;Para_realizar_el_retiro_de_tus_cesantías_debes_seguir_los_pasos_que_encontrarás_en_el_siguiente_link:_-----_.2
Saldo cesantias;Cesantías;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_.3,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Certificado cesantias;Cesantías;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_.4,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Traslado cesantias;Cesantías;Puedes_trasladar_tus_cesantías_al_FNA._Para_iniciar_con_tu_trámite_de_traslado,_dirígete_al_siguiente_link:_-----_.5
Turno retiro cesantias;Cesantías;Pensando_en_tu_comodidad,_establecimos_el_sistema_de_agendamiento_de_turnos_para_que_programes_tu_cita_en_nuestras_oficinas._u_Para_mayor_información_ingresa_a_-----_.6_u_Es_importante_que_tengas_en_cuenta_ingresar_a_través_de_Google_Chrome,_Mozzilla_Firefox_o_Safari_para_obtener_una_mejor_experiencia.__u_La_solicitud_de_turnos_también_la_puede_realizar_a_través_del_App_FNA_Movil_Agil
Tramite cesantias;Cesantías;Con_tu_usuario_y_clave_puedes_conocer_el_estado_de_tus_trámites_de_crédito,_Leasing_y_retiros_a_través_de_Fondo_en_Línea-Personas_o_de_la_App_'FNA_Móvil_Ágil'._u_Si_tu_trámite_es_de_afilación,_por_favor_comunícate_con_nuestras_líneas_de_atención_o_dirígete_al_punto_de_atención_más_cercano._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad._1
Formulario retiro cesantias;Cesantías;Si_deseas_conocer_el_formulario_para_el_retiro_de_cesantías,_ingresa_al_siguiente_link:_-----_.7
Abono a credito;Cesantías;Toda_la_información_de_abono_a_crédito_puedes_encontrarla_en_el_siguiente_link:_-----_.8
Tiempos desembolso;Cesantías;El_tiempo_del_proceso_de_retiro_de_cesantías_es_cinco_días_hábiles_después_de_la_radicación_en_Punto_de_Atención._u_Sí_el_retiro_lo_realizaste_por_Fondo_en_Linea_o_a_través_de_la_App_'FNA_Móvil_Ágil',_el_tiempo_será_24_horas_después_de_que_la_empresa_haya_aprobado_el_retiro._2
